incident_entry_id,nearest_intersection,offense_category,offense_description,state_offense_code,arrest_charge,charge_description,incident_occurred_at,scout_car_area,police_precinct,zip_code,longitude,latitude
1221614-1304,Monica St & W Davison St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2024-12-16 16:23:00,1002,10,48238,-83.14277593252329,42.38644248828813
661638-1304,Russell St & Kenwood St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-05-02 17:20:00,0301,03,48211,-83.07097867003331,42.39264079352099
1364226-1304,Elmira St & Lauder St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2025-11-18 02:53:00,0207,02,48227,-83.1898340706927,42.370383312538834
1379259-1304,Springfield St & Shoemaker St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2025-12-29 00:56:00,0501,05,48213,-82.99013284097383,42.3894385794633
1310905-0901,Hazelwood St & Lawton St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2025-07-19 11:44:00,1007,10,48206,-83.11026234666863,42.37045128948553
1137599-1304,Cambridge Ave & Fielding St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2024-05-30 10:45:00,0802,08,48219,-83.24426698459725,42.43125936709071
1302959-1304,Mettetal St & Acacia St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2025-06-11 23:31:00,0814,08,48227,-83.20700051469962,42.3916916769562
1060471-1304,Thatcher St & San Juan Dr,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-12-11 18:23:00,1208,12,48221,-83.14653843342317,42.42252908201307
1356697-1304,Newport St & Harper Ave,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-10-31 00:49:00,0910,09,48213,-82.96719400064345,42.40390482304031
1195903-1304,Bentler St & Bennett St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2024-10-15 09:46:00,0806,08,48219,-83.25304268694988,42.41966450406428
1198196-1304,Florence St & Cruse St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2024-10-19 17:10:00,0201,02,48235,-83.18385750819918,42.4116755744653
1219946-1304,Appoline St & Gavel St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2024-12-11 11:15:00,0203,02,48227,-83.17007839065579,42.39317960673869
1225792-1304,E McNichols Rd & Westphalia St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2024-12-28 11:44:00,0905,09,48205,-82.9921446460969,42.4242025770519
660711-0903,Fairmount Dr & Gratiot Ave,HOMICIDE,NEGLIGENT HOMICIDE - VEHICLE / BOAT / SNOWMOBILE / ORV,0903,09003,NEGLIGENT HOMICIDE - VEHICLE / BOAT / SNOWMOBILE / ORV,2021-04-29 16:30:00,0902,09,48205,-82.97156532807871,42.444370135016825
827729-1304,Healy St & Stockton St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2022-06-19 22:16:00,1108,11,48234,-83.05516604081927,42.427859684902
827728-0901,Healy St & Stockton St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2022-06-19 22:16:00,1108,11,48234,-83.05516604081927,42.427859684902
1373917-1304,Penrod St & Cathedral St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-12-13 16:51:00,0607,06,48228,-83.22022406800863,42.361409089351056
1379610-1304,Fairview St & Mack Ave,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-12-29 22:35:00,0501,05,48214,-82.98171893599095,42.377743211354016
1312396-1304,Saint Jean St & Shoemaker St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2025-07-22 11:49:00,0502,05,48213,-82.98577652311148,42.39025439863196
1359755-1304,W Warren Rd & Stout St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-11-06 20:54:00,0609,06,48228,-83.23901494049305,42.34307431264347
778935-1304,Belton St & Hartwell St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-04-05 03:45:00,0208,02,48228,-83.17612049711883,42.3537146603199
1382183-1304,W Grand Blvd & Hanover St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2025-12-31 00:00:00,0305,03,48208,-83.09384486500441,42.362575674748
1066052-1304,Midland St & Dolphin St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-12-25 00:00:00,0809,08,48223,-83.25944755666258,42.403908700918606
1106173-0901,Curtis St & Freeland St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2024-03-31 18:18:00,1206,12,48235,-83.1862150851558,42.4236308837665
920324-1304,Hazelwood St & Byron St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-01-29 16:40:00,1008,10,48206,-83.09254431943495,42.37691044714845
660171-1304,Mansfield St & Tireman St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-04-28 16:30:00,0611,06,48228,-83.20273839274763,42.35080748925851
660184-0901,Normandy St & W McNichols Rd,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021-04-28 21:38:00,1212,12,48221,-83.12698651757974,42.41738368430795
902592-1304,Emery St & Conant St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2022-12-14 13:45:00,1102,11,48234,-83.07551705574447,42.43550574380919
1380041-1304,W Grand Blvd & Hanover St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2025-12-31 00:00:00,0305,03,48208,-83.09384486500441,42.362575674748
1380097-0901,W Grand Blvd & Hanover St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2025-12-31 00:00:00,0305,03,48208,-83.09384486500441,42.362575674748
1339438-0901,2nd Ave & Delaware St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2025-09-21 16:50:00,0303,03,48202,-83.07890842951424,42.37303779404508
1246534-1304,Sylvester St & E Grand Blvd,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-02-22 23:13:00,0708,07,48207,-83.01460802657864,42.36667557873925
1381877-1304,W Grand Blvd & Hanover St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2025-12-31 00:00:00,0305,03,48208,-83.09384486500441,42.362575674748
1070916-1304,Elmwood St & Ludden St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2024-01-05 20:49:00,0707,07,48207,-83.02691856024745,42.358507762376114
680387-1304,Saint Aubin St & Woodbridge St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-06-14 17:40:00,0709,07,48207,-83.02558717514506,42.33607173700198
1065132-0901,Brock St & Eastwood St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2023-12-22 13:25:00,0906,09,48205,-82.96301115042283,42.43392969685827
