incident_entry_id,nearest_intersection,offense_category,offense_description,state_offense_code,arrest_charge,charge_description,incident_occurred_at,scout_car_area,police_precinct,zip_code,longitude,latitude,cvi_zone,buffer,cvi_area
1240964-0901,Sorrento St & Clarita St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2025-02-06 21:08:00,1207,12,48235.0,-83.17413469352616,42.4293963270112,Non-CVI,False,Non-CVI
1393531-1304,Fenton St & Grand River Ave,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2026-02-07 09:00:00,805,8,48219.0,-83.28287056611586,42.42662530418054,Non-CVI,False,Non-CVI
1091677-1304,Plymouth Rd & Mark Twain St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2024-02-26 01:23:00,207,2,48227.0,-83.1852935989305,42.37289718107022,Non-CVI,False,Non-CVI
1398970-0901,Chalfonte St & Manor St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2026-02-22 01:47:00,203,2,48238.0,-83.16822035164246,42.400060603304674,New Era CC,False,New Era CC
1398653-0902,Grand River Ave & Ravenswood St,HOMICIDE,NEGLIGENT HOMICIDE / MANSLAUGHTER (INVOLUNTARY),902,9002,NEGLIGENT HOMICIDE / MANSLAUGHTER (INVOLUNTARY),2026-02-21 03:46:00,1004,10,48204.0,-83.13186309823148,42.36587826416036,Non-CVI,False,Non-CVI
639451-0901,Quincy St & Pingree St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021-03-01 12:35:00,1007,10,48204.0,-83.12046328877099,42.36307516206492,Non-CVI,False,Non-CVI
1351225-0901,Fernhill St & Havana St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2025-10-18 02:55:00,1205,12,48203.0,-83.11034432241682,42.43778519626383,Non-CVI,False,Non-CVI
1403453-1304,W Outer Dr & Prairie St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2026-03-05 23:58:00,1203,12,48221.0,-83.1459010545385,42.43516276738197,Non-CVI,False,Non-CVI
1383716-1304,Marlowe St & W I 96 Service Drive,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2026-01-09 23:28:00,204,2,48227.0,-83.18917940217878,42.38077862376781,Detroit 300,False,Detroit 300
1300734-0901,Portlance St & Hoover St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2025-06-27 15:08:00,908,9,48205.0,-83.00403621101957,42.41997132660219,Non-CVI,False,Non-CVI
1367824-1304,Cooley St & Willmarth Ave,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2025-11-26 11:46:00,805,8,48219.0,-83.2597036104148,42.41947548891114,Non-CVI,False,Non-CVI
831316-0901,Epworth St & Linsdale St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2022-06-28 01:53:00,1006,10,48204.0,-83.13386553462766,42.35769344131597,Non-CVI,False,Non-CVI
677811-1304,Albion St & Greiner St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-06-04 23:25:00,904,9,48234.0,-83.005535287845,42.42720375392469,Non-CVI,False,Non-CVI
1092098-1304,Greenfield Rd & W Chicago St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2024-02-27 02:22:00,207,2,48228.0,-83.19728018889778,42.36536954332674,Detroit 300,True,Detroit 300
850781-1304,Greeley St & E 7 Mile Rd,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2022-08-12 21:31:00,1106,11,48203.0,-83.08775510453366,42.43274146442843,Live in Peace,False,Live in Peace
