cvi_name,cvi_area_sq_miles,GEOID,tract_area_sq_miles,total_population,poverty_universe,below_poverty,housing_units,occupied_units,vacant_units,intersection_area_sq_miles,overlap_share,total_population_weighted,poverty_universe_weighted,below_poverty_weighted,housing_units_weighted,occupied_units_weighted,vacant_units_weighted
Detroit Peoples Community,4.377687069302223,26163539700,0.2872352130673235,2464.0,2464.0,1000.0,1183.0,1118.0,65.0,0.2667845734436415,0.9288017670072759,2288.567553905928,2288.567553905928,928.8017670072759,1098.7724903696073,1038.4003755141346,60.37211485547294
Detroit Peoples Community,4.377687069302223,26163540100,0.4765843305940314,3539.0,3539.0,1493.0,1679.0,1381.0,298.0,0.47214178890087777,0.9906783723090177,3506.0107596016137,3506.0107596016137,1479.0828098573634,1663.3489871068407,1368.1268321587534,295.2221549480873
Detroit Peoples Community,4.377687069302223,26163540200,0.49021197352347384,3277.0,3258.0,1189.0,1527.0,1136.0,391.0,0.4902119735234741,1.0,3277.0,3258.0,1189.0,1527.0,1136.0,391.0
Detroit Peoples Community,4.377687069302223,26163540300,0.49760149599228115,4213.0,4213.0,1715.0,1583.0,1420.0,163.0,0.49116321405786884,0.9870613694165578,4158.489549351958,4158.489549351958,1692.8102485493966,1562.518147786411,1401.627144571512,160.89100321489892
Detroit Peoples Community,4.377687069302223,26163540500,0.5374077254465317,2670.0,2670.0,1081.0,1241.0,1106.0,135.0,0.2660824982418027,0.49512220543669133,1321.976288515966,1321.976288515966,535.2271040770634,614.4466569469339,547.6051592129807,66.84149773395333
Detroit Peoples Community,4.377687069302223,26163540600,0.4622785042873217,3280.0,3280.0,548.0,1193.0,1053.0,140.0,0.22715407346073563,0.491379268891014,1611.724001962526,1611.724001962526,269.2758393522757,586.2154677869797,517.4223701422378,68.79309764474196
Detroit Peoples Community,4.377687069302223,26163540700,0.49870244445300604,3516.0,3414.0,1370.0,1337.0,1095.0,242.0,0.49870244445300577,0.9999999999999994,3515.999999999998,3413.999999999998,1369.9999999999993,1336.9999999999993,1094.9999999999993,241.99999999999986
Detroit Peoples Community,4.377687069302223,26163540800,0.4935402252433423,2138.0,2138.0,370.0,981.0,830.0,151.0,0.48720644443737265,0.9871666371209221,2110.5622701645316,2110.5622701645316,365.2516557347412,968.4104710156246,819.3483088103653,149.06216220525923
Detroit Peoples Community,4.377687069302223,26163540900,0.4874670207336639,3372.0,3320.0,708.0,1459.0,1372.0,87.0,0.23915351016970773,0.4906044921967622,1654.3183476874822,1628.8069140932505,347.3479804753077,715.7919541150761,673.1093632939578,42.68259082111831
Detroit Peoples Community,4.377687069302223,26163541000,0.49594471417803615,4270.0,4196.0,1571.0,1815.0,1641.0,174.0,0.24292211590264873,0.48981692708482744,2091.518278652213,2055.271826047936,769.5023924502639,889.0177226589618,803.7895773462018,85.22814531275998
Detroit Peoples Community,4.377687069302223,26163541100,0.5528602658962786,1905.0,1905.0,665.0,1087.0,792.0,295.0,0.23582745075474756,0.42655887084312705,812.594648956157,812.594648956157,283.6616491106795,463.6694926064791,337.83462570775663,125.83486689872248
Detroit Friends & Family,3.8155638307775,26163500100,0.4711057296108341,4042.0,4016.0,1373.0,1666.0,1354.0,312.0,7.234307195590875e-07,1.5356016157067147e-06,0.006206901730686541,0.006166976088678167,0.002108381018365319,0.002558312291767387,0.0020792045876668916,0.000479107704100495
Detroit Friends & Family,3.8155638307775,26163500500,0.31398091216781443,1165.0,1142.0,226.0,788.0,533.0,255.0,0.0017819459551794506,0.005675332117727742,6.61176191715282,6.481229278445082,1.2826250586064698,4.472161708769461,3.0249520187488868,1.4472096900205744
Detroit Friends & Family,3.8155638307775,26163500600,0.5667053240789169,2811.0,2811.0,884.0,1388.0,985.0,403.0,1.3643321540299748e-05,2.407480741860798e-05,0.06767428365370703,0.06767428365370703,0.021282129758049453,0.03341583269702788,0.02371368530732886,0.009702147389699016
Detroit Friends & Family,3.8155638307775,26163500700,0.4708249579146441,4284.0,4284.0,1415.0,1637.0,1343.0,294.0,0.35803955156232437,0.7604515129107352,3257.7742813095897,3257.7742813095897,1076.0388907686904,1244.8591266348735,1021.2863818391173,223.57274479575614
Detroit Friends & Family,3.8155638307775,26163500800,0.3107386449798733,2287.0,2287.0,758.0,1031.0,899.0,132.0,0.2370767971975939,0.7629459709234089,1744.857435501836,1744.857435501836,578.3130459599439,786.5972960220346,685.8884278601446,100.70886816188997
