GEOID,total_population,poverty_universe,below_poverty,housing_units,occupied_units,vacant_units
26163538800,2102.0,2102.0,169.0,807.0,776.0,31.0
26163538900,3532.0,3532.0,590.0,1583.0,1521.0,62.0
26163539000,2904.0,2904.0,412.0,1297.0,1122.0,175.0
26163539100,1847.0,1847.0,745.0,861.0,752.0,109.0
26163539200,4677.0,4588.0,770.0,2281.0,2176.0,105.0
26163539300,3924.0,3924.0,958.0,1886.0,1778.0,108.0
26163539400,3884.0,3838.0,542.0,1618.0,1460.0,158.0
26163539500,2566.0,2427.0,462.0,1326.0,1186.0,140.0
26163539600,3405.0,3405.0,277.0,1576.0,1394.0,182.0
26163539700,2464.0,2464.0,1000.0,1183.0,1118.0,65.0
26163540100,3539.0,3539.0,1493.0,1679.0,1381.0,298.0
26163540200,3277.0,3258.0,1189.0,1527.0,1136.0,391.0
26163540300,4213.0,4213.0,1715.0,1583.0,1420.0,163.0
26163540400,2413.0,2413.0,869.0,1347.0,1159.0,188.0
26163540500,2670.0,2670.0,1081.0,1241.0,1106.0,135.0
26163540600,3280.0,3280.0,548.0,1193.0,1053.0,140.0
26163540700,3516.0,3414.0,1370.0,1337.0,1095.0,242.0
26163540800,2138.0,2138.0,370.0,981.0,830.0,151.0
26163540900,3372.0,3320.0,708.0,1459.0,1372.0,87.0
26163541000,4270.0,4196.0,1571.0,1815.0,1641.0,174.0
26163541100,1905.0,1905.0,665.0,1087.0,792.0,295.0
26163541200,2152.0,2151.0,668.0,1167.0,920.0,247.0
26163541300,2385.0,2376.0,495.0,1188.0,1039.0,149.0
26163541400,2811.0,2720.0,1070.0,1102.0,934.0,168.0
26163541500,3734.0,3421.0,897.0,1832.0,1504.0,328.0
26163541700,2321.0,2321.0,851.0,1593.0,1436.0,157.0
26163541800,2500.0,2500.0,734.0,1163.0,1040.0,123.0
26163542100,4928.0,4928.0,1934.0,1959.0,1752.0,207.0
26163542200,3571.0,3530.0,862.0,1836.0,1559.0,277.0
26163542300,2406.0,2397.0,1101.0,1358.0,1153.0,205.0
26163542400,2235.0,2224.0,553.0,1057.0,907.0,150.0
