pair_id,pair_cvi_name,zone_name,zone_type,treated,month,crime_count,calls_count,post,treated_post,log_calls,month_str,zone_id
PAIR_02,Detroit Friends & Family,Detroit Friends & Family,CVI,1,2021-10-01,2.0,92.5,0,0,4.538,2021-10,Detroit Friends & Family
PAIR_02,Detroit Friends & Family,Detroit Friends & Family,CVI,1,2021-11-01,8.0,69.0,0,0,4.248,2021-11,Detroit Friends & Family
PAIR_02,Detroit Friends & Family,Detroit Friends & Family,CVI,1,2021-12-01,4.0,77.0,0,0,4.357,2021-12,Detroit Friends & Family
PAIR_02,Detroit Friends & Family,Detroit Friends & Family,CVI,1,2022-01-01,5.0,87.0,0,0,4.477,2022-01,Detroit Friends & Family
PAIR_02,Detroit Friends & Family,Detroit Friends & Family,CVI,1,2022-02-01,5.0,48.0,0,0,3.892,2022-02,Detroit Friends & Family
PAIR_02,Detroit Friends & Family,Detroit Friends & Family,CVI,1,2022-03-01,8.0,63.0,0,0,4.159,2022-03,Detroit Friends & Family
PAIR_02,Detroit Friends & Family,Detroit Friends & Family,CVI,1,2022-04-01,2.0,65.0,0,0,4.19,2022-04,Detroit Friends & Family
PAIR_02,Detroit Friends & Family,Detroit Friends & Family,CVI,1,2022-05-01,10.0,63.0,0,0,4.159,2022-05,Detroit Friends & Family
PAIR_02,Detroit Friends & Family,Detroit Friends & Family,CVI,1,2022-06-01,10.0,67.0,0,0,4.22,2022-06,Detroit Friends & Family
PAIR_02,Detroit Friends & Family,Detroit Friends & Family,CVI,1,2022-07-01,6.0,75.0,0,0,4.331,2022-07,Detroit Friends & Family
PAIR_02,Detroit Friends & Family,Detroit Friends & Family,CVI,1,2022-08-01,7.5,92.5,0,0,4.538,2022-08,Detroit Friends & Family
PAIR_02,Detroit Friends & Family,Detroit Friends & Family,CVI,1,2022-09-01,5.0,64.0,0,0,4.174,2022-09,Detroit Friends & Family
PAIR_02,Detroit Friends & Family,Detroit Friends & Family,CVI,1,2022-10-01,3.0,67.5,0,0,4.227,2022-10,Detroit Friends & Family
PAIR_02,Detroit Friends & Family,Detroit Friends & Family,CVI,1,2022-11-01,2.0,83.0,0,0,4.431,2022-11,Detroit Friends & Family
PAIR_02,Detroit Friends & Family,Detroit Friends & Family,CVI,1,2022-12-01,11.0,117.0,0,0,4.771,2022-12,Detroit Friends & Family
PAIR_02,Detroit Friends & Family,Detroit Friends & Family,CVI,1,2023-01-01,5.0,223.5,0,0,5.414,2023-01,Detroit Friends & Family
