cvi_name,candidate_id,month,group,count
Team Pursuit,CAND_0168,2022-06-01,CVI,3
Team Pursuit,CAND_0168,2022-06-01,Matched Control,3
Team Pursuit,CAND_0168,2022-07-01,CVI,13
Team Pursuit,CAND_0168,2022-07-01,Matched Control,0
Team Pursuit,CAND_0168,2022-08-01,CVI,10
Team Pursuit,CAND_0168,2022-08-01,Matched Control,4
Team Pursuit,CAND_0168,2022-09-01,CVI,4
Team Pursuit,CAND_0168,2022-09-01,Matched Control,1
Team Pursuit,CAND_0168,2022-10-01,CVI,12
Team Pursuit,CAND_0168,2022-10-01,Matched Control,0
Team Pursuit,CAND_0168,2022-11-01,CVI,2
Team Pursuit,CAND_0168,2022-11-01,Matched Control,0
Team Pursuit,CAND_0168,2022-12-01,CVI,10
Team Pursuit,CAND_0168,2022-12-01,Matched Control,0
Team Pursuit,CAND_0168,2023-01-01,CVI,6
Team Pursuit,CAND_0168,2023-01-01,Matched Control,1
Team Pursuit,CAND_0168,2023-02-01,CVI,1
Team Pursuit,CAND_0168,2023-02-01,Matched Control,0
Team Pursuit,CAND_0168,2023-03-01,CVI,1
Team Pursuit,CAND_0168,2023-03-01,Matched Control,0
Team Pursuit,CAND_0168,2023-04-01,CVI,6
Team Pursuit,CAND_0168,2023-04-01,Matched Control,0
Team Pursuit,CAND_0168,2023-05-01,CVI,10
Team Pursuit,CAND_0168,2023-05-01,Matched Control,0
Team Pursuit,CAND_0168,2023-06-01,CVI,11
Team Pursuit,CAND_0168,2023-06-01,Matched Control,0
Team Pursuit,CAND_0168,2023-07-01,CVI,6
Team Pursuit,CAND_0168,2023-07-01,Matched Control,1
